iter	Logloss
0	0.6395706093
1	0.5937338194
2	0.553114608
3	0.5251283226
4	0.4988767378
5	0.4650952787
6	0.4424931978
7	0.4124584933
8	0.3944206935
9	0.3704431381
10	0.350859644
11	0.3361489803
12	0.3205318124
13	0.3122043497
14	0.2944769073
15	0.2842134634
16	0.2744244931
17	0.2655694844
18	0.2592831355
19	0.2550087261
20	0.2474953325
21	0.2396596143
22	0.2282043943
23	0.2207693015
24	0.2128629265
25	0.210436547
26	0.2034692321
27	0.1998118266
28	0.1958084029
29	0.1885335103
30	0.1851261455
31	0.1813105813
32	0.1792840209
33	0.1729201605
34	0.1698978648
35	0.1658935283
36	0.1620137702
37	0.159471746
38	0.1581242041
39	0.156270484
40	0.1538047856
41	0.1515613202
42	0.1489087025
43	0.1443748705
44	0.1426070063
45	0.1399467373
46	0.1366159481
47	0.1360580158
48	0.134105507
49	0.1328473666
50	0.1320610575
51	0.13118742
52	0.1300625212
53	0.1288782111
54	0.1283492066
55	0.1275050781
56	0.1264694594
57	0.1245335277
58	0.1236100608
59	0.1205360095
60	0.1186100805
61	0.1174288675
62	0.1165207687
63	0.1145083222
64	0.1136481985
65	0.1114161808
66	0.1106046819
67	0.1091179277
68	0.107946687
69	0.1063268826
70	0.1057505619
71	0.1053245144
72	0.1053245144
73	0.1041948595
74	0.1032467962
75	0.1022081347
76	0.1005609779
77	0.1003017916
78	0.09963232993
79	0.09914259289
80	0.0987405461
81	0.09742291345
82	0.09735252959
83	0.09642771104
84	0.09569057128
85	0.09471005381
86	0.09376095451
87	0.09314972309
88	0.09185514592
89	0.09120083917
90	0.09079936405
91	0.0902886217
92	0.08978360513
93	0.08930749556
94	0.08831909569
95	0.08786118631
96	0.08742515567
97	0.0871373897
98	0.08690366221
99	0.08598478986
100	0.08533606602
101	0.08522651907
102	0.08516084464
103	0.08498587746
104	0.08457244815
105	0.0842403527
106	0.08346950078
107	0.08304340919
108	0.082389902
109	0.08151264115
110	0.08054398481
111	0.08034971213
112	0.07978365289
113	0.07921747176
114	0.07860734345
115	0.07819389422
116	0.07794200379
117	0.07748296282
118	0.07683046448
119	0.07628829671
120	0.0756825318
121	0.07540499144
122	0.07523517466
123	0.07476574644
124	0.07381605661
125	0.07325135165
126	0.07278671699
127	0.07165551421
128	0.07066918516
129	0.07030296771
130	0.07017289795
131	0.06997298975
132	0.06951939296
133	0.06909912663
134	0.06866876189
135	0.06809332343
136	0.06798716049
137	0.067537913
138	0.06748037838
139	0.06689211465
140	0.06677767337
141	0.06628847817
142	0.06584838786
143	0.06555624654
144	0.06529293071
145	0.06497144737
146	0.06483446414
147	0.0645451385
148	0.06453048647
149	0.06394328872
150	0.06341638317
151	0.06317124128
152	0.0624311337
153	0.06221029185
154	0.06161044558
155	0.06147656449
156	0.06137081023
157	0.06118906447
158	0.06102199875
159	0.06091640434
160	0.06007879124
161	0.05988682935
162	0.05987934913
163	0.05962369725
164	0.05941193595
165	0.05905410433
166	0.05860418429
167	0.05855081138
168	0.05800484244
169	0.0578916112
170	0.05731711569
171	0.05662933561
172	0.05660994866
173	0.05660877305
174	0.05650184046
175	0.05635268052
176	0.05585340052
177	0.05549214379
178	0.05532412821
179	0.05523717476
180	0.0547777608
181	0.05472222437
182	0.05391102312
183	0.05375112027
184	0.05350007771
185	0.05321482861
186	0.0532140915
187	0.05310191659
188	0.05257569991
189	0.0523246144
190	0.05228816606
191	0.05226196607
192	0.05193762021
193	0.05145399699
194	0.05130602245
195	0.05130508526
196	0.0509392332
197	0.05069103435
198	0.05041512973
199	0.05003143973
200	0.04991820917
201	0.04945009367
202	0.04921743649
203	0.04901919952
204	0.0488868591
205	0.04854444107
206	0.04845610117
207	0.04842310907
208	0.04837949249
209	0.04797175936
210	0.04785550487
211	0.04745720478
212	0.04689861514
213	0.04669315681
214	0.0462167903
215	0.04611408618
216	0.04597315347
217	0.04581357372
218	0.04554792138
219	0.04524847915
220	0.04505122683
221	0.0448413098
222	0.04478906584
223	0.04429725865
224	0.04410086038
225	0.04361281282
226	0.0433014773
227	0.04320918365
228	0.04295298381
229	0.04279662699
230	0.04257335055
231	0.04224719012
232	0.0419996141
233	0.04159636205
234	0.04147360575
235	0.04092000683
236	0.04069884773
237	0.04046990398
238	0.04017237792
239	0.03993319627
240	0.03970265174
241	0.03957729324
242	0.03928889158
243	0.03885569326
244	0.03859745133
245	0.03833585843
246	0.03794425847
247	0.03755935425
